en,ja
big,小さい
big,小
small,大きい
slow,速い
fast,遅い
hot,冷たい
cold,暑い
cold,熱い
good,悪い
good,ひどい
bad,良い
bad,素晴らしい
new,古い
old,新しい
young,年取り
old,若い
short,長い
long,短い
short,高い
tall,低い
white,黒い
black,白い
thick,薄い
thin,厚い
light,重い
hearvy,軽い
beautiful,醜い
ugly,美しい
strong,弱い
weak,強い
low,高い
high,低い
poor,豊か
poor,裕福
rich,貧しい
wealthy,貧しい
fat,痩せた
thin,太った
slim,太った
dark,明るい
light,暗い
lazy,真面目な
hard,だらしない
quet,うるさい
loud,静かな
noisy,静かな
cheap,高い
far,近い
near,遠い
close,遠い
tidy,散らかった
messy,きちんとした
happy,悲しい
sad,幸せ
soft,硬い
hard,柔らかい
true,不正
false,真実
clean,汚い
dirty,綺麗
easy,難しい
difficult,簡単
difficult,易しい
hard,簡単
hard,易しい
early,遅い
late,早い
full,空っぽ
full,空虚
empty,いっぱい
right,間違い
wrong,正しい
right,不正解
wrong,正解
dry,湿った
wet,乾いた
full,空腹
hungry,満腹
worst,最高
best,最悪